product_id,product_name,category,standard_price,cost_price,margin_percentage,active_status
P0001,Basic LED Desk Lamp,Electronics,705.6,410.42,41.83,Active
P0002,Advanced Baseball Cap,Apparel,21.37,20.08,6.04,Active
P0003,Classic Cutlery Set,Home & Living,64.32,37.63,41.5,Discontinued
P0004,Ultra Lip Balm Set,Beauty & Personal Care,79.04,55.08,30.31,Active
P0005,Basic Sports Towel,Sports & Outdoors,198.56,93.15,53.09,Active
P0006,Smart Herbal Tea Box,Food & Beverage,46.21,25.71,44.36,Active
P0007,Prime Power Bank,Electronics,709.41,360.66,49.16,Active
P0008,Advanced Winter Scarf,Apparel,29.91,19.59,34.5,Discontinued
P0009,Prime Ceramic Mug Set,Home & Living,140.44,78.81,43.88,Active
P0010,Plus Body Lotion,Beauty & Personal Care,19.94,11.82,40.72,Active
P0011,Compact Football,Sports & Outdoors,158.63,111.01,30.02,Active
P0012,Classic Spice Set,Food & Beverage,50.44,43.41,13.94,Active
P0013,Lite Webcam,Electronics,626.95,308.41,50.81,Active
P0014,Compact Rain Jacket,Apparel,119.74,77.77,35.05,Active
P0015,Lite Ceramic Mug Set,Home & Living,191.68,118.96,37.94,Active
P0016,Everyday Hand Cream,Beauty & Personal Care,81.87,48.41,40.87,Active
P0017,Everyday Yoga Mat,Sports & Outdoors,225.8,139.11,38.39,Active
P0018,Plus Cookie Box,Food & Beverage,4.76,2.77,41.81,Active
P0019,Pro Webcam,Electronics,773.93,402.58,47.98,Active
P0020,Everyday Denim Jacket,Apparel,49.69,32.23,35.14,Active
P0021,Basic Scented Candle,Home & Living,270.76,154.85,42.81,Active
P0022,Compact Deodorant,Beauty & Personal Care,7.61,3.63,52.3,Active
P0023,Lite Trekking Pole,Sports & Outdoors,64.83,38.92,39.97,Active
P0024,Essential Protein Bar Pack,Food & Beverage,28.43,16.04,43.58,Active
P0025,Max Power Bank,Electronics,351.16,167.26,52.37,Discontinued
P0026,Plus Rain Jacket,Apparel,137.02,90.42,34.01,Discontinued
P0027,Ultra Cushion Cover,Home & Living,314.82,209.38,33.49,Active
P0028,Ultra Shampoo,Beauty & Personal Care,16.08,11.59,27.92,Active
P0029,Lite Cycling Gloves,Sports & Outdoors,114.03,108.32,5.01,Active
P0030,Ultra Trail Mix Pouch,Food & Beverage,46.24,30.79,33.41,Active
P0031,Max USB-C Hub,Electronics,542.32,349.77,35.5,Active
P0032,Essential Denim Jacket,Apparel,13.91,8.32,40.19,Active
P0033,Lite Cushion Cover,Home & Living,54.81,34.33,37.37,Discontinued
P0034,Everyday Facial Cleanser,Beauty & Personal Care,71.82,39.79,44.6,Active
P0035,Advanced Camping Tent,Sports & Outdoors,335.91,199.76,40.53,Active
P0036,Smart Fruit Preserve Jar,Food & Beverage,30.74,18.36,40.27,Active
P0037,Essential Tablet Sleeve,Electronics,447.2,237.06,46.99,Active
P0038,Basic Wool Sweater,Apparel,70.33,32.1,54.36,Active
P0039,Max Wall Clock,Home & Living,69.0,42.52,38.38,Active
P0040,Compact Deodorant,Beauty & Personal Care,37.34,24.19,35.22,Active
P0041,Plus Trekking Pole,Sports & Outdoors,46.63,33.8,27.51,Active
P0042,Basic Granola Mix,Food & Beverage,34.63,19.44,43.86,Active
P0043,Essential USB-C Hub,Electronics,312.74,230.14,26.41,Active
P0044,Lite Denim Jacket,Apparel,44.35,32.41,26.92,Active
P0045,Deluxe Throw Blanket,Home & Living,182.51,136.47,25.23,Active
P0046,Prime Shampoo,Beauty & Personal Care,107.44,77.15,28.19,Active
P0047,Classic Camping Tent,Sports & Outdoors,272.48,176.7,35.15,Active
P0048,Smart Herbal Tea Box,Food & Beverage,45.57,24.09,47.14,Active
P0049,Lite Webcam,Electronics,145.57,133.2,8.5,Active
P0050,Lite Cotton T-Shirt,Apparel,93.11,66.33,28.76,Active
P0051,Prime Scented Candle,Home & Living,314.3,233.07,25.84,Active
P0052,Max Hair Serum,Beauty & Personal Care,6.6,3.42,48.18,Active
P0053,Compact Trekking Pole,Sports & Outdoors,51.42,30.95,39.81,Active
P0054,Compact Herbal Tea Box,Food & Beverage,14.39,12.27,14.73,Active
P0055,Deluxe Laptop Stand,Electronics,152.71,74.39,51.29,Active
P0056,Signature Casual Shirt,Apparel,50.73,30.26,40.35,Discontinued
P0057,Pro Scented Candle,Home & Living,125.28,91.13,27.26,Active
P0058,Lite Deodorant,Beauty & Personal Care,77.91,37.53,51.83,Active
P0059,Deluxe Water Bottle,Sports & Outdoors,338.52,212.87,37.12,Active
P0060,Pro Spice Set,Food & Beverage,29.64,20.32,31.44,Active
P0061,Plus LED Desk Lamp,Electronics,753.31,519.06,31.1,Active
P0062,Signature Baseball Cap,Apparel,94.05,66.81,28.96,Active
P0063,Signature Throw Blanket,Home & Living,159.06,91.9,42.22,Active
P0064,Plus Hair Serum,Beauty & Personal Care,57.2,29.99,47.57,Active
P0065,Pro Sports Towel,Sports & Outdoors,287.63,138.52,51.84,Active
P0066,Essential Granola Mix,Food & Beverage,11.33,7.9,30.27,Active
P0067,Essential Bluetooth Speaker,Electronics,832.03,415.73,50.03,Active
P0068,Pro Baseball Cap,Apparel,24.4,11.13,54.39,Active
P0069,Compact Cutlery Set,Home & Living,35.55,22.3,37.27,Active
P0070,Deluxe Deodorant,Beauty & Personal Care,41.57,25.0,39.86,Active
P0071,Plus Sports Towel,Sports & Outdoors,24.78,12.5,49.56,Active
P0072,Pro Protein Bar Pack,Food & Beverage,35.56,30.55,14.09,Active
P0073,Basic Wireless Earbuds,Electronics,490.43,235.65,51.95,Active
P0074,Basic Ankle Socks,Apparel,139.33,66.84,52.03,Discontinued
P0075,Advanced Cutlery Set,Home & Living,392.13,270.81,30.94,Active
P0076,Everyday Hand Cream,Beauty & Personal Care,94.58,46.38,50.96,Active
P0077,Classic Jump Rope,Sports & Outdoors,301.57,276.41,8.34,Active
P0078,Prime Fruit Preserve Jar,Food & Beverage,18.19,8.95,50.8,Active
P0079,Classic Laptop Stand,Electronics,240.01,134.47,43.97,Active
P0080,Essential Running Shorts,Apparel,61.88,40.58,34.42,Discontinued
P0081,Essential Cushion Cover,Home & Living,367.79,218.57,40.57,Active
P0082,Basic Hair Serum,Beauty & Personal Care,102.58,66.24,35.43,Active
P0083,Advanced Water Bottle,Sports & Outdoors,225.19,120.8,46.36,Active
P0084,Max Cookie Box,Food & Beverage,42.6,30.17,29.18,Active
P0085,Max Laptop Stand,Electronics,121.78,81.31,33.23,Discontinued
P0086,Basic Denim Jacket,Apparel,27.51,20.29,26.25,Active
P0087,Smart Photo Frame,Home & Living,316.31,217.79,31.15,Active
P0088,Signature Lip Balm Set,Beauty & Personal Care,72.86,34.86,52.15,Active
P0089,Ultra Camping Tent,Sports & Outdoors,202.08,176.63,12.59,Active
P0090,Prime Sparkling Water Pack,Food & Beverage,46.54,32.1,31.03,Active
P0091,Max Home Router,Electronics,840.86,408.59,51.41,Active
P0092,Advanced Winter Scarf,Apparel,101.42,58.38,42.44,Active
P0093,Advanced Table Lamp,Home & Living,143.45,103.21,28.05,Active
P0094,Lite Body Lotion,Beauty & Personal Care,46.88,25.52,45.56,Active
P0095,Classic Jump Rope,Sports & Outdoors,328.28,190.85,41.86,Active
P0096,Advanced Granola Mix,Food & Beverage,34.52,25.23,26.91,Active
